Planning Area,Subzone,Total
Ang Mo Kio,Total,"174,770 "
Ang Mo Kio,Ang Mo Kio Town Centre,"5,020 "
Ang Mo Kio,Cheng San,"29,770 "
Ang Mo Kio,Chong Boon,"27,900 "
Ang Mo Kio,Kebun Bahru,"23,910 "
Ang Mo Kio,Sembawang Hills,"6,890 "
Ang Mo Kio,Shangri-La,"18,510 "
Ang Mo Kio,Tagore,"8,350 "
Ang Mo Kio,Townsville,"23,770 "
Ang Mo Kio,Yio Chu Kang,30 
Ang Mo Kio,Yio Chu Kang East,"4,080 "
Ang Mo Kio,Yio Chu Kang North,-
Ang Mo Kio,Yio Chu Kang West,"26,550 "
Bedok,Total,"289,750 "
Bedok,Bayshore,"7,480 "
Bedok,Bedok North,"85,930 "
Bedok,Bedok Reservoir,"25,400 "
Bedok,Bedok South,"51,190 "
Bedok,Frankel,"33,570 "
Bedok,Kaki Bukit,"40,820 "
Bedok,Kembangan,"38,440 "
Bedok,Siglap,"6,930 "
Bishan,Total,"90,700 "
Bishan,Bishan East,"28,820 "
Bishan,Marymount,"31,540 "
Bishan,Upper Thomson,"30,340 "
Boon Lay,Total,30
Boon Lay,Liu Fang,10
Boon Lay,Samulun,10
Boon Lay,Shipyard,-
Boon Lay,Tukang,10
Bukit Batok,Total,"139,270"
Bukit Batok,Brickworks,-
Bukit Batok,Bukit Batok Central,"26,060"
Bukit Batok,Bukit Batok East,"14,570"
Bukit Batok,Bukit Batok South,"13,940"
Bukit Batok,Bukit Batok West,"15,190"
Bukit Batok,Gombak,"9,820"
Bukit Batok,Guilin,"13,130"
Bukit Batok,Hillview,"18,220"
Bukit Batok,Hong Kah North,"28,340"
Bukit Merah,Total,"155,840"
Bukit Merah,Alexandra Hill,"15,650"
Bukit Merah,Alexandra North,"1,000"
Bukit Merah,Bukit Ho Swee,"16,290"
Bukit Merah,Bukit Merah,"1,190"
Bukit Merah,City Terminals,40
Bukit Merah,Depot Road,"5,200"
Bukit Merah,Everton Park,"9,010"
Bukit Merah,Henderson Hill,"12,870"
Bukit Merah,Kampong Tiong Bahru,"10,460"
Bukit Merah,Maritime Square,"2,560"
Bukit Merah,Redhill,"12,210"
Bukit Merah,Singapore General Hospital,10
Bukit Merah,Telok Blangah Drive,"16,000"
Bukit Merah,Telok Blangah Rise,"13,820"
Bukit Merah,Telok Blangah Way,"10,690"
Bukit Merah,Tiong Bahru,"12,190"
Bukit Merah,Tiong Bahru Station,"16,670"
Bukit Panjang,Total,"139,030 "
Bukit Panjang,Bangkit,"23,800 "
Bukit Panjang,Dairy Farm,"5,390 "
Bukit Panjang,Fajar,"26,770 "
Bukit Panjang,Jelebu,"33,470 "
Bukit Panjang,Nature Reserve,"3,870 "
Bukit Panjang,Saujana,"25,530 "
Bukit Panjang,Senja,"20,200 "
Bukit Timah,Total,"74,470 "
Bukit Timah,Anak Bukit,"21,990 "
Bukit Timah,Coronation Road,"6,170 "
Bukit Timah,Farrer Court,"4,680 "
Bukit Timah,Hillcrest,"8,810 "
Bukit Timah,Holland Road,"10,280 "
Bukit Timah,Leedon Park,"6,260 "
Bukit Timah,Swiss Club,"5,550 "
Bukit Timah,Ulu Pandan,"10,730 "
Central Water Catchment,Total,10 
Central Water Catchment,Central Water Catchment,10 
Changi,Total,"2,530 "
Changi,Changi Airport,-
Changi,Changi Point,790 
Changi,Changi West,"1,740 "
Changi Bay,Total,-
Changi Bay,Changi Bay,-
Choa Chu Kang,Total,"174,330 "
Choa Chu Kang,Choa Chu Kang Central,"21,400 "
Choa Chu Kang,Choa Chu Kang North,"34,380 "
Choa Chu Kang,Keat Hong,"15,660 "
Choa Chu Kang,Peng Siang,"32,130 "
Choa Chu Kang,Teck Whye,"27,040 "
Choa Chu Kang,Yew Tee,"43,710 "
Clementi,Total,"91,630 "
Clementi,Clementi Central,"13,490 "
Clementi,Clementi North,"28,730 "
Clementi,Clementi West,"16,470 "
Clementi,Clementi Woods,"16,400 "
Clementi,Faber,"4,320 "
Clementi,Pandan,10 
Clementi,Sunset Way,"6,290 "
Clementi,Toh Tuck,40 
Clementi,West Coast,"5,890 "
Downtown Core,Total,"3,720 "
Downtown Core,Anson,80 
Downtown Core,Bayfront Subzone,-
Downtown Core,Bugis,"2,330 "
Downtown Core,Cecil,160 
Downtown Core,Central Subzone,480 
Downtown Core,City Hall,60 
Downtown Core,Clifford Pier,-
Downtown Core,Marina Centre,20 
Downtown Core,Maxwell,-
Downtown Core,Phillip,-
Downtown Core,Raffles Place,60 
Downtown Core,Tanjong Pagar,520 
Geylang,Total,"116,960 "
Geylang,Aljunied,"41,710 "
Geylang,Geylang East,"33,380 "
Geylang,Kallang Way,40 
Geylang,Kampong Ubi,"13,210 "
Geylang,Macpherson,"28,630 "
Hougang,Total,"222,310 "
Hougang,Defu Industrial Park,20 
Hougang,Hougang Central,"4,830 "
Hougang,Hougang East,"21,940 "
Hougang,Hougang West,"50,120 "
Hougang,Kangkar,"26,080 "
Hougang,Kovan,"25,640 "
Hougang,Lorong Ah Soo,"34,180 "
Hougang,Lorong Halus,-
Hougang,Tai Seng,"14,700 "
Hougang,Trafalgar,"44,800 "
Jurong East,Total,"84,980 "
Jurong East,International Business Park,10 
Jurong East,Jurong Gateway,20 
Jurong East,Jurong Port,10 
Jurong East,Jurong River,10 
Jurong East,Lakeside,"1,010 "
Jurong East,Penjuru Crescent,10 
Jurong East,Teban Gardens,"19,080 "
Jurong East,Toh Guan,"16,510 "
Jurong East,Yuhua East,"27,460 "
Jurong East,Yuhua West,"20,870 "
Jurong West,Total,"272,660 "
Jurong West,Boon Lay Place,"31,100 "
Jurong West,Chin Bee,-
Jurong West,Hong Kah,"56,870 "
Jurong West,Jurong West Central,"68,200 "
Jurong West,Kian Teck,50 
Jurong West,Safti,-
Jurong West,Taman Jurong,"36,940 "
Jurong West,Wenya,"8,610 "
Jurong West,Yunnan,"70,890 "
Kallang,Total,"101,210 "
Kallang,Bendemeer,"33,830 "
Kallang,Boon Keng,"10,970 "
Kallang,Crawford,"9,740 "
Kallang,Geylang Bahru,"12,870 "
Kallang,Kallang Bahru,30 
Kallang,Kampong Bugis,890 
Kallang,Kampong Java,"11,260 "
Kallang,Lavender,"10,320 "
Kallang,Tanjong Rhu,"11,310 "
Lim Chu Kang,Total,90 
Lim Chu Kang,Lim Chu Kang,90 
Mandai,Total,"2,120 "
Mandai,Mandai East,-
Mandai,Mandai Estate,"2,120 "
Mandai,Mandai West,-
Marina East,Total,-
Marina East,Marina East,-
Marina South,Total,-
Marina South,Marina South,-
Marine Parade,Total,"48,730 "
Marine Parade,East Coast,-
Marine Parade,Katong,"9,620 "
Marine Parade,Marina East (Mp),-
Marine Parade,Marine Parade,"28,910 "
Marine Parade,Mountbatten,"10,210 "
Museum,Total,380 
Museum,Bras Basah,10 
Museum,Dhoby Ghaut,210 
Museum,Fort Canning,160 
Newton,Total,"6,920 "
Newton,Cairnhill,"3,330 "
Newton,Goodwood Park,910 
Newton,Istana Negara,40 
Newton,Monk's Hill,980 
Newton,Newton Circus,230 
Newton,Orange Grove,"1,440 "
North-Eastern Islands,Total,60 
North-Eastern Islands,North-Eastern Islands,60 
Novena,Total,"47,990 "
Novena,Balestier,"32,340 "
Novena,Dunearn,"3,900 "
Novena,Malcolm,"2,630 "
Novena,Moulmein,"8,470 "
Novena,Mount Pleasant,650 
Orchard,Total,920 
Orchard,Boulevard,400 
Orchard,Somerset,130 
Orchard,Tanglin,390 
Outram,Total,"22,080 "
Outram,China Square,"1,590 "
Outram,Chinatown,"11,880 "
Outram,Pearl's Hill,"8,230 "
Outram,People's Park,390 
Pasir Ris,Total,"139,890 "
Pasir Ris,Flora Drive,"12,950 "
Pasir Ris,Loyang East,"2,190 "
Pasir Ris,Loyang West,200 
Pasir Ris,Pasir Ris Central,"25,730 "
Pasir Ris,Pasir Ris Drive,"59,480 "
Pasir Ris,Pasir Ris Park,"2,980 "
Pasir Ris,Pasir Ris Wafer Fab Park,20 
Pasir Ris,Pasir Ris West,"36,330 "
Paya Lebar,Total,40 
Paya Lebar,Airport Road,-
Paya Lebar,Paya Lebar East,10 
Paya Lebar,Paya Lebar North,20 
Paya Lebar,Paya Lebar West,-
Paya Lebar,Plab,-
Pioneer,Total,100 
Pioneer,Benoi Sector,-
Pioneer,Gul Basin,20 
Pioneer,Gul Circle,30 
Pioneer,Joo Koon,40 
Pioneer,Pioneer Sector,-
Punggol,Total,"109,750 "
Punggol,Coney Island,-
Punggol,Matilda,"30,440 "
Punggol,Northshore,280 
Punggol,Punggol Canal,-
Punggol,Punggol Field,"43,300 "
Punggol,Punggol Town Centre,"7,390 "
Punggol,Waterway East,"28,340 "
Queenstown,Total,"98,050 "
Queenstown,Commonwealth,"8,130 "
Queenstown,Dover,"13,200 "
Queenstown,Ghim Moh,"11,900 "
Queenstown,Holland Drive,"14,230 "
Queenstown,Kent Ridge,"1,080 "
Queenstown,Margaret Drive,"10,520 "
Queenstown,Mei Chin,"16,750 "
Queenstown,National University of S'pore,360 
Queenstown,One North,620 
Queenstown,Pasir Panjang 1,"4,010 "
Queenstown,Pasir Panjang 2,"3,520 "
Queenstown,Port,140 
Queenstown,Queensway,280 
Queenstown,Singapore Polytechnic,160 
Queenstown,Tanglin Halt,"13,160 "
River Valley,Total,"9,190 "
River Valley,Institution Hill,"3,380 "
River Valley,Leonie Hill,"2,450 "
River Valley,One Tree Hill,"1,840 "
River Valley,Oxley,"1,380 "
River Valley,Paterson,150 
Rochor,Total,"14,590 "
Rochor,Bencoolen,"1,460 "
Rochor,Farrer Park,"3,130 "
Rochor,Kampong Glam,170 
Rochor,Little India,"3,850 "
Rochor,Mackenzie,110 
Rochor,Mount Emily,"1,110 "
Rochor,Rochor Canal,10 
Rochor,Selegie,270 
Rochor,Sungei Road,"2,420 "
Rochor,Victoria,"2,060 "
Seletar,Total,270 
Seletar,Pulau Punggol Barat,-
Seletar,Pulau Punggol Timor,-
Seletar,Seletar,260 
Seletar,Seletar Aerospace Park,20 
Sembawang,Total,"76,530 "
Sembawang,Admiralty,"14,410 "
Sembawang,Sembawang Central,"29,140 "
Sembawang,Sembawang East,90 
Sembawang,Sembawang North,"26,860 "
Sembawang,Sembawang Springs,"4,290 "
Sembawang,Sembawang Straits,"1,700 "
Sembawang,Senoko North,20 
Sembawang,Senoko South,20 
Sembawang,The Wharves,-
Sengkang,Total,"206,680 "
Sengkang,Anchorvale,"38,040 "
Sengkang,Compassvale,"18,510 "
Sengkang,Fernvale,"35,590 "
Sengkang,,
Sengkang,Lorong Halus North,-
Sengkang,Rivervale,"59,860 "
Sengkang,Sengkang Town Centre,"54,680 "
Sengkang,Sengkang West,10 
Serangoon,Total,"120,670 "
Serangoon,Lorong Chuan,"8,390 "
Serangoon,Seletar Hills,"13,580 "
Serangoon,Serangoon Central,"26,480 "
Serangoon,Serangoon Garden,"39,180 "
Serangoon,Serangoon North,"17,490 "
Serangoon,Serangoon North Ind Estate,20 
Serangoon,Upper Paya Lebar,"15,540 "
Simpang,Total,-
Simpang,Pulau Seletar,-
Simpang,Simpang North,-
Simpang,Simpang South,-
Simpang,Tanjong Irau,-
Singapore River,Total,"2,720 "
Singapore River,Boat Quay,180 
Singapore River,Clarke Quay,130 
Singapore River,Robertson Quay,"2,420 "
Southern Islands,Total,"1,480 "
Southern Islands,Sentosa,"1,470 "
Southern Islands,Southern Group,-
Straits View,Total,-
,Straits View,-
Sungei Kadut,Total,850 
Sungei Kadut,Gali Batu,130 
Sungei Kadut,Kranji,20 
Sungei Kadut,Pang Sua,20 
Sungei Kadut,Reservoir View,20 
Sungei Kadut,Turf Club,660 
Tampines,Total,"261,230 "
Tampines,Simei,"42,710 "
Tampines,Tampines East,"138,500 "
Tampines,Tampines North,-
Tampines,Tampines West,"78,110 "
Tampines,Xilin,"1,920 "
Tanglin,Total,"19,000 "
Tanglin,Chatsworth,"5,740 "
Tanglin,Nassim,"8,340 "
Tanglin,Ridout,"1,400 "
Tanglin,Tyersall,"3,520 "
Tengah,Total,10 
Tengah,Tengah,10 
Toa Payoh,Total,"124,940 "
Toa Payoh,Bidadari,10 
Toa Payoh,Boon Teck,"15,110 "
Toa Payoh,Braddell,"10,760 "
Toa Payoh,Joo Seng,"6,720 "
Toa Payoh,Kim Keat,"8,610 "
Toa Payoh,Lorong 8 Toa Payoh,"8,220 "
Toa Payoh,Pei Chun,"11,780 "
Toa Payoh,Potong Pasir,"12,650 "
Toa Payoh,Sennett,"4,540 "
Toa Payoh,Toa Payoh Central,"30,740 "
Toa Payoh,Toa Payoh West,"13,360 "
Toa Payoh,Woodleigh,"2,440 "
Tuas,Total,70 
Tuas,Tengeh,-
Tuas,Tuas Bay,20 
Tuas,Tuas North,20 
Tuas,Tuas Promenade,10 
Tuas,Tuas View,10 
Tuas,Tuas View Extension,-
Western Islands,Total,-
Western Islands,Jurong Island and Bukom,-
Western Islands,Semakau,-
Western Islands,Sudong,-
Western Water Catchment,Total,900 
Western Water Catchment,Western Water Catchment,900 
Woodlands,Total,"250,290 "
Woodlands,Greenwood Park,70 
Woodlands,Midview,"35,510 "
Woodlands,North Coast,"14,610 "
Woodlands,Senoko West,20 
Woodlands,Woodgrove,"35,850 "
Woodlands,Woodlands East,"95,510 "
Woodlands,Woodlands Regional Centre,-
Woodlands,Woodlands South,"35,840 "
Woodlands,Woodlands West,"32,890 "
Yishun,Total,"201,970 "
Yishun,Khatib,"10,850 "
Yishun,Lower Seletar,"2,870 "
Yishun,Nee Soon,900 
Yishun,Northland,"30,380 "
Yishun,Springleaf,"3,880 "
Yishun,Yishun Central,"1,490 "
Yishun,Yishun East,"54,880 "
Yishun,Yishun South,"38,840 "
Yishun,Yishun West,"57,890 "